cntyname,State,PUMA10,PUMA00,Pop14
Buchanan MO,MO,200,200,89486
Butler MO,MO,2400,2200,42972
Caldwell MO,MO,800,100,9034
Callaway MO,MO,500,500,44750
Camden MO,MO,1400,1300,44021
Cape Girardeau MO,MO,2200,2000,78043
Carroll MO,MO,700,700,9043
Carter MO,MO,2400,2200,6258
Cass MO,MO,1100,902,100689.206
Cass MO,MO,1100,1004,199.794
Cedar MO,MO,1200,1200,13952
Chariton MO,MO,700,700,7694
Christian MO,MO,2601,2400,82101
Clark MO,MO,300,300,6917
Clay MO,MO,901,800,81697.465
Clay MO,MO,901,1001,27933.727
Clay MO,MO,902,800,32529.683
Clay MO,MO,902,1001,79701.146
Clay MO,MO,903,1001,11819.978
Clinton MO,MO,800,800,20299
Cole MO,MO,500,500,76496.552
Cole MO,MO,500,1400,60.448
Cooper MO,MO,700,500,17585
Crawford MO,MO,1500,1400,24650
Dade MO,MO,1200,2600,7628
Dallas MO,MO,1300,1200,16389
Daviess MO,MO,100,100,8297
DeKalb MO,MO,200,100,12692
Dent MO,MO,1500,1400,15655
Douglas MO,MO,2500,2300,13546
Dunklin MO,MO,2300,2100,31344
Franklin MO,MO,1600,1500,102084
Gasconade MO,MO,1500,1400,14866
Gentry MO,MO,100,100,6826
Greene MO,MO,2601,2400,40025.92
Greene MO,MO,2602,2400,15159.964
Greene MO,MO,2602,2500,107057.831
Greene MO,MO,2603,2400,67853.643
Greene MO,MO,2603,2500,55767.641
Grundy MO,MO,100,100,10197
Harrison MO,MO,100,100,8639
Henry MO,MO,1200,1200,22028
Hickory MO,MO,1300,1200,9219
Holt MO,MO,100,100,4516
Howard MO,MO,700,500,10159
Howell MO,MO,2500,2300,40173
Iron MO,MO,2400,2000,10267
Jackson MO,MO,1001,1002,98687.829
Jackson MO,MO,1001,1003,74844.578
Jackson MO,MO,1002,901,33627.617
Jackson MO,MO,1002,1002,5.067
Jackson MO,MO,1002,1003,7.094
Jackson MO,MO,1002,1004,12813.416
Jackson MO,MO,1002,1100,83476.711
Jackson MO,MO,1003,901,88934.877
Jackson MO,MO,1003,902,7721.086
Jackson MO,MO,1003,1100,34513.328
Jackson MO,MO,1004,901,21523.58
Jackson MO,MO,1004,902,81362.76
Jackson MO,MO,1004,1004,417.52
Jackson MO,MO,1004,1100,528.994
Jackson MO,MO,1005,901,160.117
Jackson MO,MO,1005,902,24749.229
Jackson MO,MO,1005,1003,29970.26
Jackson MO,MO,1005,1004,89846.936
Jasper MO,MO,2800,2700,117543
Jefferson MO,MO,2001,1708,112.003
Jefferson MO,MO,2001,1900,111352.4
Jefferson MO,MO,2002,1900,111251.597
Johnson MO,MO,800,700,54362
Knox MO,MO,300,300,4000
Laclede MO,MO,1300,1300,35439
Lafayette MO,MO,800,901,32688
Lawrence MO,MO,1200,2600,38023
Lewis MO,MO,300,300,10138
Lincoln MO,MO,400,1500,54249
Linn MO,MO,100,300,12311
Livingston MO,MO,100,100,15053
Macon MO,MO,300,300,15479
Madison MO,MO,2400,2000,12368
Maries MO,MO,1500,1400,9013
Marion MO,MO,300,400,28920
McDonald MO,MO,2700,2600,22800
Mercer MO,MO,100,100,3719
Miller MO,MO,1400,1300,25141
Mississippi MO,MO,2300,2100,14232
Moniteau MO,MO,500,500,15856
Monroe MO,MO,300,400,8707
Montgomery MO,MO,400,400,11841
Morgan MO,MO,1400,1300,20240
New Madrid MO,MO,2300,2100,18272
Newton MO,MO,2800,2700,58598
Nodaway MO,MO,100,100,23081
Oregon MO,MO,2500,2300,10911
Osage MO,MO,500,1400,13703
Ozark MO,MO,2500,2300,9492
Pemiscot MO,MO,2300,2100,17650
Perry MO,MO,2100,2000,19202
Pettis MO,MO,700,700,42225
Phelps MO,MO,1500,1400,44847
Pike MO,MO,400,400,18541
Platte MO,MO,903,800,48471.112
Platte MO,MO,903,1001,46316.888
Polk MO,MO,1300,1200,31054
Pulaski MO,MO,1400,1300,53436
Putnam MO,MO,100,300,4829
Ralls MO,MO,300,400,10255
Randolph MO,MO,700,400,25072
Ray MO,MO,800,901,22949
Reynolds MO,MO,2400,2200,6565
Ripley MO,MO,2400,2200,13969
Saline MO,MO,700,700,23347
Schuyler MO,MO,300,300,4370
Scotland MO,MO,300,300,4863
Scott MO,MO,2200,2100,38903
Shannon MO,MO,2500,2300,8329
Shelby MO,MO,300,300,6108
St. Charles MO,MO,1701,1601,68674.774
St. Charles MO,MO,1701,1602,40222.668
St. Charles MO,MO,1702,1601,135353.574
St. Charles MO,MO,1703,1601,20492.422
St. Charles MO,MO,1703,1602,114749.562
St. Clair MO,MO,1200,1200,9457
St. Francois MO,MO,2100,2000,65960
St. Louis city MO,MO,1901,1701,0.994
St. Louis city MO,MO,1901,1801,91452.787
St. Louis city MO,MO,1901,1802,43900.678
St. Louis city MO,MO,1902,1802,57909.925
St. Louis city MO,MO,1902,1803,124154.616
St. Louis MO,MO,1801,1701,123948.499
St. Louis MO,MO,1802,1702,126084.73
St. Louis MO,MO,1803,1703,112071.861
St. Louis MO,MO,1804,1704,112131.033
St. Louis MO,MO,1805,1705,118237.844
St. Louis MO,MO,1805,1802,3.009
St. Louis MO,MO,1806,1706,114395.638
St. Louis MO,MO,1807,1707,159022.795
St. Louis MO,MO,1808,1708,135980.591
Ste. Genevieve MO,MO,2100,2000,17914
Stoddard MO,MO,2300,2200,29867
Stone MO,MO,2700,2600,31104
Sullivan MO,MO,100,300,6411
Taney MO,MO,2700,2400,3.148
Taney MO,MO,2700,2600,54226.852
Texas MO,MO,2500,2300,25642
Vernon MO,MO,1200,1200,21001
Warren MO,MO,400,1500,33253
Washington MO,MO,2100,1400,25077
Wayne MO,MO,2400,2200,13452
Webster MO,MO,2601,2400,36888
Worth MO,MO,100,100,2073
Wright MO,MO,2500,2300,18291
Adams MS,MS,1600,2000,31737
Alcorn MS,MS,200,300,37380
Amite MS,MS,1600,2000,12629
Attala MS,MS,700,800,19163
Benton MS,MS,200,200,8296
Bolivar MS,MS,800,600,33768
Calhoun MS,MS,400,800,14745
Carroll MS,MS,700,700,10254
Chickasaw MS,MS,400,900,17313
Choctaw MS,MS,600,800,8294
Claiborne MS,MS,1600,1700,9080
Clarke MS,MS,1500,1100,16299
Clay MS,MS,600,900,20225
Coahoma MS,MS,300,500,24807
Copiah MS,MS,1200,1700,28797
Covington MS,MS,1700,1700,19442
DeSoto MS,MS,100,100,170913
Forrest MS,MS,1800,1900,76330
Franklin MS,MS,1600,2000,7833
George MS,MS,1900,2100,23303
Greene MS,MS,1700,1800,14326
Grenada MS,MS,700,800,21666
Hancock MS,MS,1900,2100,45949
Harrison MS,MS,2000,2200,199058
Hinds MS,MS,1000,1400,39980.757
Hinds MS,MS,1000,1500,48713.009
Hinds MS,MS,1100,1400,128173.721
Hinds MS,MS,1200,1500,26861.512
Holmes MS,MS,700,1600,18459
Humphreys MS,MS,800,700,8741
Issaquena MS,MS,800,1600,1397
Itawamba MS,MS,400,300,23527
Jackson MS,MS,2100,2300,141137
Jasper MS,MS,1400,1200,16601
Jefferson Davis MS,MS,1700,1700,11822
Jefferson MS,MS,1600,1700,7599
Jones MS,MS,1700,1800,68290
Kemper MS,MS,1400,1100,10163
Lafayette MS,MS,400,200,52930
Lamar MS,MS,1800,1900,60099
Lauderdale MS,MS,1500,1100,79739
Lawrence MS,MS,1600,1700,12502
Leake MS,MS,1400,1200,23193
Lee MS,MS,500,400,85246
Leflore MS,MS,700,700,31422
Lincoln MS,MS,1600,1700,34775
Lowndes MS,MS,600,1000,59730
Madison MS,MS,900,1500,79265.007
Madison MS,MS,1000,1500,22422.993
Marion MS,MS,1800,2000,25868
Marshall MS,MS,200,200,36234
Monroe MS,MS,400,1000,36003
Montgomery MS,MS,700,800,10400
Neshoba MS,MS,1400,1200,29465
Newton MS,MS,1500,1100,21832
Noxubee MS,MS,600,1000,11115
Oktibbeha MS,MS,600,900,49414
Panola MS,MS,300,500,34444
Pearl River MS,MS,1900,2100,55224
Perry MS,MS,1800,1800,12227
Pike MS,MS,1600,2000,40058
Pontotoc MS,MS,500,400,30950
Prentiss MS,MS,200,300,25428
Quitman MS,MS,300,500,7678
Rankin MS,MS,1300,1300,148070
Scott MS,MS,1400,1200,28461
Sharkey MS,MS,800,1600,4647
Simpson MS,MS,1300,1700,27463
Smith MS,MS,1400,1200,16188
Stone MS,MS,1900,2100,17875
Sunflower MS,MS,800,700,27496
Tallahatchie MS,MS,300,700,14761
Tate MS,MS,300,500,28204
Tippah MS,MS,200,200,22039
Tishomingo MS,MS,200,300,19420
Tunica MS,MS,300,500,10598
Union MS,MS,500,400,28097
Walthall MS,MS,1600,2000,14859
Warren MS,MS,1200,1600,47983
Washington MS,MS,800,600,48958
Wayne MS,MS,1700,1800,20490
Webster MS,MS,600,800,9972
Wilkinson MS,MS,1600,2000,9191
Winston MS,MS,600,900,18478
Yalobusha MS,MS,700,800,12276
Yazoo MS,MS,900,1600,27817
Beaverhead MT,MT,300,500,9345
Big Horn MT,MT,600,300,13282
Blaine MT,MT,400,200,6619
Broadwater MT,MT,300,600,5667
Carbon MT,MT,500,300,10399
Carter MT,MT,600,300,1169
Cascade MT,MT,400,200,82344
Chouteau MT,MT,400,200,5894
Custer MT,MT,600,300,12092
Daniels MT,MT,600,300,1793
Dawson MT,MT,600,300,9518
Deer Lodge MT,MT,300,600,9150
Fallon MT,MT,600,300,3108
Fergus MT,MT,400,300,11442
Flathead MT,MT,100,100,94924
Gallatin MT,MT,500,500,97308
Garfield MT,MT,600,300,1309
Glacier MT,MT,100,200,13696
Golden Valley MT,MT,600,300,852
Granite MT,MT,300,600,3209
Hill MT,MT,400,200,16596
Jefferson MT,MT,300,600,11558
Judith Basin MT,MT,400,200,1991
Lake MT,MT,200,100,29099
Lewis and Clark MT,MT,300,600,65856
Liberty MT,MT,400,200,2359
Lincoln MT,MT,100,100,19125
Madison MT,MT,300,500,7820
McCone MT,MT,600,300,1694
Meagher MT,MT,400,500,1853
Mineral MT,MT,200,700,4257
Missoula MT,MT,200,700,112684
Musselshell MT,MT,600,300,4589
Park MT,MT,500,500,15880
Petroleum MT,MT,400,300,485
Phillips MT,MT,600,300,4192
Pondera MT,MT,400,200,6219
Powder River MT,MT,600,300,1783
Powell MT,MT,300,600,6909
Prairie MT,MT,600,300,1148
Ravalli MT,MT,200,700,41030
Richland MT,MT,600,300,11576
Roosevelt MT,MT,600,300,11332
Rosebud MT,MT,600,300,9326
Sanders MT,MT,200,100,11364
Sheridan MT,MT,600,300,3696
Silver Bow MT,MT,300,600,34680
Stillwater MT,MT,500,300,9290
Sweet Grass MT,MT,500,300,3665
Teton MT,MT,400,200,6064
Toole MT,MT,400,200,5150
Treasure MT,MT,600,300,692
Valley MT,MT,600,300,7640
Wheatland MT,MT,400,300,2102
Wibaux MT,MT,600,300,1121
Yellowstone MT,MT,600,400,46803.161
Yellowstone MT,MT,700,400,108830.839
Alamance NC,NC,1600,2300,155786.846
Alamance NC,NC,1600,2400,5.154
Alexander NC,NC,2000,800,37375.917
Alexander NC,NC,2000,1500,16.083
Alleghany NC,NC,200,600,10879
Anson NC,NC,5300,2500,25765
Ashe NC,NC,100,500,27126
Avery NC,NC,100,500,17773
Beaufort NC,NC,4400,4700,47585
Bertie NC,NC,800,4700,20106
Bladen NC,NC,4900,4100,34657
Brunswick NC,NC,4800,4000,118836
Buncombe NC,NC,2201,201,816.845
Buncombe NC,NC,2201,202,125582.782
Buncombe NC,NC,2202,201,124139.374
Burke NC,NC,2100,800,89486
Cabarrus NC,NC,3200,1300,143810.427
Cabarrus NC,NC,3300,1300,48292.573
Caldwell NC,NC,2000,800,81484
Camden NC,NC,700,4800,10331
Carteret NC,NC,4400,4500,68811
Caswell NC,NC,400,2400,23082
Catawba NC,NC,2800,700,154532.999
Catawba NC,NC,2800,800,1.001
Chatham NC,NC,1500,2000,2.164
Chatham NC,NC,1500,2900,68695.836
Cherokee NC,NC,2400,100,27141
Chowan NC,NC,700,4800,14572
Clay NC,NC,2400,100,10581
Cleveland NC,NC,2600,400,49473.346
Cleveland NC,NC,2700,400,47602.654
Columbus NC,NC,4900,4100,56953
Craven NC,NC,4300,4500,104510
Cumberland NC,NC,5001,3600,99575.547
Cumberland NC,NC,5001,3700,11532.747
Cumberland NC,NC,5002,3600,4332.57
Cumberland NC,NC,5002,3700,102817.057
Cumberland NC,NC,5003,3600,19596.168
Cumberland NC,NC,5003,3700,88473.912
Currituck NC,NC,700,4800,24976
Dare NC,NC,800,4800,35104
Davidson NC,NC,3500,2200,164072
Davie NC,NC,1900,2100,41434
Duplin NC,NC,3900,3200,59879.953
Duplin NC,NC,3900,4200,2.047
Durham NC,NC,1301,2801,155303.284
Durham NC,NC,1302,2602,387.35
Durham NC,NC,1302,2802,138769.366
Edgecombe NC,NC,900,3400,54933
Forsyth NC,NC,1801,1800,102740.128
Forsyth NC,NC,1801,1900,6785.728
Forsyth NC,NC,1802,1800,105417.334
Forsyth NC,NC,1802,1900,18825.863
Forsyth NC,NC,1803,1800,2179.267
Forsyth NC,NC,1803,1900,129349.681
Franklin NC,NC,500,3000,62860
Gaston NC,NC,3001,400,166.987
Gaston NC,NC,3001,1100,104209.163
Gaston NC,NC,3002,1100,106750.85
Gates NC,NC,700,4800,11567
Graham NC,NC,2300,100,8644
Granville NC,NC,400,3300,58500
Greene NC,NC,1000,4400,21093
Guilford NC,NC,1701,1601,2751.4
Guilford NC,NC,1701,1602,128497.928
Guilford NC,NC,1701,1700,6227.349
Guilford NC,NC,1702,1601,107974.624
Guilford NC,NC,1702,1602,1037.018
Guilford NC,NC,1702,1700,5968.357
Guilford NC,NC,1703,1601,4106.129
Guilford NC,NC,1703,1602,3342.783
Guilford NC,NC,1703,1700,112705.689
Guilford NC,NC,1704,1601,3338.589
Guilford NC,NC,1704,1602,621.791
Guilford NC,NC,1704,1700,135547.342
Halifax NC,NC,600,3500,52970
Harnett NC,NC,3800,2702,37.554
Harnett NC,NC,3800,3100,126628.446
Haywood NC,NC,2300,100,59471
Henderson NC,NC,2500,201,34.363
Henderson NC,NC,2500,300,111114.637
Hertford NC,NC,600,3500,24308
Hoke NC,NC,5200,3900,51611
Hyde NC,NC,800,4800,5676
Iredell NC,NC,1900,1500,26131.795
Iredell NC,NC,2900,1500,140543.205
Jackson NC,NC,2300,100,6014.197
Jackson NC,NC,2400,100,34966.803
Johnston NC,NC,1100,3000,181423
Jones NC,NC,4100,4500,10076
Lee NC,NC,1500,3100,59662
Lenoir NC,NC,4100,4400,58462.39
Lenoir NC,NC,4100,4500,22.61
Lincoln NC,NC,2700,1100,79829
Macon NC,NC,2400,100,33875
Madison NC,NC,2300,201,21157
Martin NC,NC,800,4700,23454
McDowell NC,NC,2100,400,44965
Mecklenburg NC,NC,3101,904,113053.87
Mecklenburg NC,NC,3102,902,122568.981
Mecklenburg NC,NC,3102,1000,3245.84
Mecklenburg NC,NC,3103,902,2.202
Mecklenburg NC,NC,3103,903,116585.978
Mecklenburg NC,NC,3103,1000,4181.716
Mecklenburg NC,NC,3104,905,152911.195
Mecklenburg NC,NC,3104,1000,3651.019
Mecklenburg NC,NC,3105,901,105006.434
Mecklenburg NC,NC,3105,1000,5650.491
Mecklenburg NC,NC,3106,902,8135.519
Mecklenburg NC,NC,3106,903,2120.586
Mecklenburg NC,NC,3106,1000,140945.189
Mecklenburg NC,NC,3107,903,10133.89
Mecklenburg NC,NC,3107,904,6677.753
Mecklenburg NC,NC,3107,1000,102698.673
Mecklenburg NC,NC,3108,901,14411.396
Mecklenburg NC,NC,3108,905,16311.775
Mecklenburg NC,NC,3108,1000,84246.493
Mitchell NC,NC,100,500,15311
Montgomery NC,NC,3700,2500,27395
Moore NC,NC,3700,3900,93077
Nash NC,NC,900,3400,94357
New Hanover NC,NC,4600,4000,54400.281
New Hanover NC,NC,4700,4000,161897.719
Northampton NC,NC,600,3500,20463
Onslow NC,NC,4100,4200,42181.461
Onslow NC,NC,4500,4200,145407.539
Orange NC,NC,1400,2900,140420
Pamlico NC,NC,4400,4700,12948
Pasquotank NC,NC,700,4800,39787
Pender NC,NC,4600,4100,56250
Perquimans NC,NC,700,4800,13466
Person NC,NC,400,2400,39132
Pitt NC,NC,4200,4600,175354
Polk NC,NC,2600,400,20357
Randolph NC,NC,3600,2000,142778
Richmond NC,NC,5200,3900,45733
Robeson NC,NC,4900,3800,13567.602
Robeson NC,NC,5100,3800,121192.398
Rockingham NC,NC,300,2400,91696
Rowan NC,NC,3400,1200,138630
Rutherford NC,NC,2600,400,66600
Sampson NC,NC,3900,3200,64050
Scotland NC,NC,5200,3900,35576
Stanly NC,NC,3300,2500,60600
Stokes NC,NC,300,2100,46419
Surry NC,NC,200,600,72968
Swain NC,NC,2300,100,14274
Transylvania NC,NC,2500,300,33045
Tyrrell NC,NC,800,4800,4115
Union NC,NC,5300,1400,97612.461
Union NC,NC,5400,1000,6.515
Union NC,NC,5400,1400,120949.024
Vance NC,NC,500,3300,44614
Wake NC,NC,1201,2601,138563.079
Wake NC,NC,1201,2701,814.699
Wake NC,NC,1201,2702,7471.952
Wake NC,NC,1201,2703,68.723
Wake NC,NC,1202,2601,11713.927
Wake NC,NC,1202,2602,121490.984
Wake NC,NC,1202,2701,25.494
Wake NC,NC,1202,2703,6496.53
Wake NC,NC,1203,2602,31032.818
Wake NC,NC,1203,2703,81159.515
Wake NC,NC,1204,2601,9641.156
Wake NC,NC,1204,2602,13792.24
Wake NC,NC,1204,2702,24986.312
Wake NC,NC,1204,2703,72714.359
Wake NC,NC,1205,2601,3394.024
Wake NC,NC,1205,2702,110906.55
Wake NC,NC,1205,3000,11.084
Wake NC,NC,1205,3100,9.976
Wake NC,NC,1206,2602,29238.264
Wake NC,NC,1206,2701,23395.71
Wake NC,NC,1206,2703,61414.986
Wake NC,NC,1207,2601,5653.012
Wake NC,NC,1207,2701,133203.802
Wake NC,NC,1208,2701,8644.674
Wake NC,NC,1208,2702,102847.129
Warren NC,NC,500,3300,14289.615
Warren NC,NC,600,3300,5941.385
Washington NC,NC,800,4800,12570
Watauga NC,NC,100,500,52527.072
Watauga NC,NC,100,600,32.928
Wayne NC,NC,4000,4300,124456
Wilkes NC,NC,200,600,68838
Wilson NC,NC,1000,4400,81401
Yadkin NC,NC,1900,2100,37792
Yancey NC,NC,100,500,17614
Adams ND,ND,100,100,2384
Barnes ND,ND,200,300,11144
Benson ND,ND,200,300,6833
Billings ND,ND,100,100,901
Bottineau ND,ND,200,200,6650
Bowman ND,ND,100,100,3247
Burke ND,ND,100,200,2245
Burleigh ND,ND,300,200,90503
Cass ND,ND,500,400,167005
Cavalier ND,ND,400,300,3855
Dickey ND,ND,200,300,5150
Divide ND,ND,100,100,2432
Dunn ND,ND,100,100,4399
Eddy ND,ND,200,300,2377
Emmons ND,ND,300,200,3422
Foster ND,ND,200,300,3362
Golden Valley ND,ND,100,100,1825
Grand Forks ND,ND,400,500,70138
Grant ND,ND,100,100,2361
Griggs ND,ND,400,300,2319
Hettinger ND,ND,100,100,2660
Kidder ND,ND,300,200,2424
LaMoure ND,ND,200,300,4149
Logan ND,ND,300,200,1944
McHenry ND,ND,100,200,5988
McIntosh ND,ND,300,200,2801
McKenzie ND,ND,100,100,10996
McLean ND,ND,100,200,9578
Mercer ND,ND,100,100,8746
Morton ND,ND,300,100,29822
Mountrail ND,ND,100,200,9782
Nelson ND,ND,200,500,3045
Oliver ND,ND,100,100,1850
Pembina ND,ND,400,500,7128
Pierce ND,ND,200,200,4404
Ramsey ND,ND,200,300,11564
Ransom ND,ND,200,300,5446
Renville ND,ND,100,200,2587
Richland ND,ND,200,300,16432
Rolette ND,ND,200,200,14616
Sargent ND,ND,200,300,3931
Sheridan ND,ND,200,200,1326
Sioux ND,ND,100,100,4422
Slope ND,ND,100,100,765
Stark ND,ND,100,100,30372
Steele ND,ND,400,500,1955
Stutsman ND,ND,200,300,21129
Towner ND,ND,400,300,2310
Traill ND,ND,400,500,8082
Walsh ND,ND,400,500,10970
Ward ND,ND,100,200,69384
Wells ND,ND,200,300,4192
Williams ND,ND,100,100,32130
Adams NE,NE,500,500,31457
Antelope NE,NE,200,200,6398
Arthur NE,NE,400,400,453
Banner NE,NE,100,100,764
Blaine NE,NE,300,300,504
Boone NE,NE,200,200,5353
Box Butte NE,NE,100,100,11340
Boyd NE,NE,100,100,2033
Brown NE,NE,100,100,2941
Buffalo NE,NE,500,500,48224
Burt NE,NE,200,200,6573
Butler NE,NE,600,200,131.67
Butler NE,NE,600,600,8117.33
Cass NE,NE,701,701,25524
Cedar NE,NE,200,200,8610
Chase NE,NE,400,400,3978
Cherry NE,NE,100,100,5762
Cheyenne NE,NE,100,100,10148
Clay NE,NE,500,500,6315
Colfax NE,NE,200,200,10504
Cuming NE,NE,200,200,9027
Custer NE,NE,300,300,10728
Dakota NE,NE,200,200,20850
Dawes NE,NE,100,100,9042
Dawson NE,NE,400,400,24096
Deuel NE,NE,100,100,1940
Dixon NE,NE,200,200,5782
Dodge NE,NE,701,701,36744
Douglas NE,NE,901,901,169649.373
Douglas NE,NE,902,902,147609.073
Douglas NE,NE,903,903,107295.706
Douglas NE,NE,903,904,5142.386
Douglas NE,NE,904,904,113547.461
Dundy NE,NE,400,400,1886
Fillmore NE,NE,600,600,5661
Franklin NE,NE,500,500,3076
Frontier NE,NE,400,400,2705
Furnas NE,NE,400,400,4888
Gage NE,NE,600,600,21663
Garden NE,NE,100,100,1911
Garfield NE,NE,300,300,2003
Gosper NE,NE,400,400,1970
Grant NE,NE,400,400,619
Greeley NE,NE,300,300,2482
Hall NE,NE,300,300,61492
Hamilton NE,NE,300,300,9135
Harlan NE,NE,500,500,3492
Hayes NE,NE,400,400,933
Hitchcock NE,NE,400,400,2901
Holt NE,NE,100,100,10403
Hooker NE,NE,400,400,728
Howard NE,NE,300,300,6362
Jefferson NE,NE,600,600,7335
Johnson NE,NE,600,600,5185
Kearney NE,NE,500,500,6644
Keith NE,NE,400,400,8121
Keya Paha NE,NE,100,100,810
Kimball NE,NE,100,100,3713
Knox NE,NE,200,200,8482
Lancaster NE,NE,801,801,160037.308
Lancaster NE,NE,801,802,2689.018
Lancaster NE,NE,802,802,139068.674
Lincoln NE,NE,400,400,35815
Logan NE,NE,400,400,750
Loup NE,NE,300,300,588
Madison NE,NE,200,200,35174
McPherson NE,NE,400,400,498
Merrick NE,NE,300,300,7766
Morrill NE,NE,100,100,4862
Nance NE,NE,200,200,3570
Nemaha NE,NE,600,600,7175
Nuckolls NE,NE,500,500,4369
Otoe NE,NE,600,600,15797
Pawnee NE,NE,600,600,2702
Perkins NE,NE,400,400,2891
Phelps NE,NE,500,500,9187
Pierce NE,NE,200,200,7202
Platte NE,NE,200,200,32666
Polk NE,NE,600,600,5271
Red Willow NE,NE,400,400,10867
Richardson NE,NE,600,600,8128
Rock NE,NE,100,100,1443
Saline NE,NE,600,600,14252
Sarpy NE,NE,702,701,2480.342
Sarpy NE,NE,702,702,169712.658
Saunders NE,NE,701,701,20919
Scotts Bluff NE,NE,100,100,36465
Seward NE,NE,600,600,17150
Sheridan NE,NE,100,100,5259
Sherman NE,NE,300,300,3074
Sioux NE,NE,100,100,1303
Stanton NE,NE,200,200,6069
Thayer NE,NE,600,600,5230
Thomas NE,NE,400,400,687
Thurston NE,NE,200,200,6969
Valley NE,NE,300,300,4204
Washington NE,NE,701,701,20258
Wayne NE,NE,200,200,9431
Webster NE,NE,500,500,3658
Wheeler NE,NE,300,300,766
York NE,NE,600,600,13917
Belknap NH,NH,200,200,60305
Carroll NH,NH,200,200,41659.734
Carroll NH,NH,300,200,5739.266
Cheshire NH,NH,500,500,76115
Coos NH,NH,100,100,31653
Grafton NH,NH,100,100,89658
Hillsborough NH,NH,600,600,107248.313
Hillsborough NH,NH,700,600,14263.105
Hillsborough NH,NH,700,700,39286.734
Hillsborough NH,NH,800,800,110785.272
Hillsborough NH,NH,900,900,120559.937
Hillsborough NH,NH,900,1000,13040.639
Merrimack NH,NH,200,200,13371.964
Merrimack NH,NH,200,400,7400.507
Merrimack NH,NH,400,400,112880.845
Merrimack NH,NH,700,400,13517.683
Rockingham NH,NH,300,1000,9191.036
Rockingham NH,NH,300,1100,10810.108
Rockingham NH,NH,700,400,4.073
Rockingham NH,NH,700,700,63326.094
Rockingham NH,NH,700,1000,23515.244
Rockingham NH,NH,1000,700,13840.523
Rockingham NH,NH,1000,1000,67541.791
Rockingham NH,NH,1000,1100,112392.132
Strafford NH,NH,300,300,125604
Sullivan NH,NH,500,500,43103
Atlantic NJ,NJ,101,101,113158.374
Atlantic NJ,NJ,102,102,151229.676
Atlantic NJ,NJ,2600,102,10820.951
Bergen NJ,NJ,301,301,113187.029
Bergen NJ,NJ,302,302,119264.268
Bergen NJ,NJ,303,303,140901.796
Bergen NJ,NJ,304,304,123919.152
Bergen NJ,NJ,305,301,8646.554
Bergen NJ,NJ,305,305,97234.792
Bergen NJ,NJ,306,306,106920.005
Bergen NJ,NJ,307,304,71280.691
Bergen NJ,NJ,307,305,45633.959
Bergen NJ,NJ,308,304,11479.917
Bergen NJ,NJ,308,305,44723.198
Bergen NJ,NJ,308,306,50380.641
Burlington NJ,NJ,2001,2001,127182.409
Burlington NJ,NJ,2001,2003,13.029
Burlington NJ,NJ,2002,2002,154750.974
Burlington NJ,NJ,2002,2003,27.059
Burlington NJ,NJ,2003,2003,167748.529
Camden NJ,NJ,2101,2101,125994.296
Camden NJ,NJ,2102,2102,121809.742
Camden NJ,NJ,2103,2103,145965.944
Camden NJ,NJ,2104,2104,117268.017
Cape May NJ,NJ,2600,200,95344
Cumberland NJ,NJ,2400,2400,113803.027
Cumberland NJ,NJ,2500,2400,43585.973
Essex NJ,NJ,1301,1301,156093.734
Essex NJ,NJ,1302,1301,128.904
Essex NJ,NJ,1302,1302,125040.025
Essex NJ,NJ,1302,1404,32.48
Essex NJ,NJ,1401,1301,115.709
Essex NJ,NJ,1401,1401,113168.668
Essex NJ,NJ,1402,1302,100.484
Essex NJ,NJ,1402,1402,112159.765
Essex NJ,NJ,1402,1404,78959.346
Essex NJ,NJ,1403,1401,7639.852
Essex NJ,NJ,1403,1403,99200.335
Essex NJ,NJ,1403,1404,20.3
Essex NJ,NJ,1404,1402,85.259
Essex NJ,NJ,1404,1403,35712.527
Essex NJ,NJ,1404,1404,67265.612
Gloucester NJ,NJ,2201,2103,1066.764
Gloucester NJ,NJ,2201,2201,129856.544
Gloucester NJ,NJ,2202,2202,160027.692
Hudson NJ,NJ,601,601,140638.781
Hudson NJ,NJ,602,602,114062.636
Hudson NJ,NJ,701,701,145498.907
Hudson NJ,NJ,702,702,136102.523
Hudson NJ,NJ,703,602,6499.509
Hudson NJ,NJ,703,703,126312.644
Hunterdon NJ,NJ,800,800,126067
Mercer NJ,NJ,2301,2301,86076.95
Mercer NJ,NJ,2301,2302,36280.594
Mercer NJ,NJ,2302,2301,33930.82
Mercer NJ,NJ,2302,2302,111743.012
Mercer NJ,NJ,2303,2301,89676.626
Mercer NJ,NJ,2303,2302,13828.999
Middlesex NJ,NJ,901,901,117391.25
Middlesex NJ,NJ,901,1105,34.077
Middlesex NJ,NJ,902,902,114930.453
Middlesex NJ,NJ,903,903,70397.575
Middlesex NJ,NJ,903,904,45119.422
Middlesex NJ,NJ,904,904,96276.728
Middlesex NJ,NJ,904,905,13246.789
Middlesex NJ,NJ,905,905,113179.085
Middlesex NJ,NJ,906,902,72420.529
Middlesex NJ,NJ,906,903,80440.062
Middlesex NJ,NJ,907,901,60388.133
Middlesex NJ,NJ,907,905,52472.897
Monmouth NJ,NJ,1101,1101,92757.709
Monmouth NJ,NJ,1101,1102,4.991
Monmouth NJ,NJ,1101,1103,9710.011
Monmouth NJ,NJ,1102,1102,108890.483
