cntyname,State,PUMA,Pop10,Pop14
Vanderburgh IN,IN,3700,116189,117678.031
Posey IN,IN,3800,25910,25540
Vanderburgh IN,IN,3800,63514,64327.969
Warrick IN,IN,3800,59689,61149
Cheyenne KS,KS,100,2726,2693
Decatur KS,KS,100,2961,2908
Ellis KS,KS,100,28452,29013
Gove KS,KS,100,2695,2727
Graham KS,KS,100,2597,2566
Logan KS,KS,100,2756,2794
Norton KS,KS,100,5671,5560
Osborne KS,KS,100,3858,3756
Phillips KS,KS,100,5642,5533
Rawlins KS,KS,100,2519,2584
Rooks KS,KS,100,5181,5155
Russell KS,KS,100,6970,6956
Sheridan KS,KS,100,2556,2539
Sherman KS,KS,100,6010,6110
Smith KS,KS,100,3853,3769
Thomas KS,KS,100,7900,7891
Trego KS,KS,100,3001,2902
Wallace KS,KS,100,1485,1506
Cloud KS,KS,200,9533,9385
Ellsworth KS,KS,200,6497,6392
Jewell KS,KS,200,3077,3043
Lincoln KS,KS,200,3241,3167
Mitchell KS,KS,200,6373,6284
Ottawa KS,KS,200,6091,6065
Republic KS,KS,200,4980,4803
Saline KS,KS,200,55606,55755
Washington KS,KS,200,5799,5598
Clay KS,KS,300,8535,8317
Dickinson KS,KS,300,19754,19394
Geary KS,KS,300,34362,36713
Marshall KS,KS,300,10117,10006
Morris KS,KS,300,5923,5698
Pottawatomie KS,KS,300,21604,22897
Riley KS,KS,300,71115,75194
Atchison KS,KS,400,16924,16513
Brown KS,KS,400,9984,9815
Doniphan KS,KS,400,7945,7874
Jackson KS,KS,400,13462,13539
Jefferson KS,KS,400,19126,18855
Leavenworth KS,KS,400,76227,78797
Nemaha KS,KS,400,10178,10148
Wyandotte KS,KS,500,157505,161636
Johnson KS,KS,601,156774,165443.574
Johnson KS,KS,602,101728,107353.54
Johnson KS,KS,603,149840,158126.125
Johnson KS,KS,604,135837,143348.761
Douglas KS,KS,700,110826,116585
Miami KS,KS,700,32787,32822
Shawnee KS,KS,800,177934,178406
Chase KS,KS,900,2790,2692
Coffey KS,KS,900,8601,8433
Franklin KS,KS,900,25992,25611
Greenwood KS,KS,900,6689,6328
Lyon KS,KS,900,33690,33212
Marion KS,KS,900,12660,12208
Osage KS,KS,900,16295,15936
Wabaunsee KS,KS,900,7053,7022
McPherson KS,KS,1000,29180,29241
Reno KS,KS,1000,64511,63794
Rice KS,KS,1000,10083,10015
Barber KS,KS,1100,4861,4897
Barton KS,KS,1100,27674,27385
Comanche KS,KS,1100,1891,1954
Edwards KS,KS,1100,3037,3030
Harper KS,KS,1100,6034,5818
Kingman KS,KS,1100,7858,7698
Kiowa KS,KS,1100,2553,2513
Pawnee KS,KS,1100,6973,6916
Pratt KS,KS,1100,9656,9850
Rush KS,KS,1100,3307,3197
Stafford KS,KS,1100,4437,4297
Sumner KS,KS,1100,24132,23528
Clark KS,KS,1200,2215,2144
Finney KS,KS,1200,36776,37184
Ford KS,KS,1200,33848,34795
Grant KS,KS,1200,7829,7816
Gray KS,KS,1200,6006,6082
Greeley KS,KS,1200,1247,1301
Hamilton KS,KS,1200,2690,2603
Haskell KS,KS,1200,4256,4106
Hodgeman KS,KS,1200,1916,1916
Kearny KS,KS,1200,3977,3915
Lane KS,KS,1200,1750,1687
Meade KS,KS,1200,4575,4357
Morton KS,KS,1200,3233,3110
Ness KS,KS,1200,3107,3105
Scott KS,KS,1200,4936,5080
Seward KS,KS,1200,22952,23465
Stanton KS,KS,1200,2235,2111
Stevens KS,KS,1200,5724,5801
Wichita KS,KS,1200,2234,2176
Butler KS,KS,1300,65880,66227
Harvey KS,KS,1300,34684,34820
Sedgwick KS,KS,1300,142136,145112.966
Sedgwick KS,KS,1401,115238,117651.601
Sedgwick KS,KS,1402,114318,116712.332
Sedgwick KS,KS,1403,126673,129326.101
Allen KS,KS,1500,13371,12909
Anderson KS,KS,1500,8102,7883
Bourbon KS,KS,1500,15173,14772
Chautauqua KS,KS,1500,3669,3481
Cowley KS,KS,1500,36311,35963
Elk KS,KS,1500,2882,2694
Linn KS,KS,1500,9656,9502
Wilson KS,KS,1500,9409,9028
Woodson KS,KS,1500,3309,3157
Cherokee KS,KS,1600,21603,20787
Crawford KS,KS,1600,39134,39290
Labette KS,KS,1600,21607,20960
Montgomery KS,KS,1600,35471,34065
Neosho KS,KS,1600,16512,16416
Ballard KY,KY,100,8249,8240
Calloway KY,KY,100,37191,38282
Carlisle KY,KY,100,5104,4978
Fulton KY,KY,100,6813,6265
Graves KY,KY,100,37121,37618
Hickman KY,KY,100,4902,4734
McCracken KY,KY,100,65565,65316
Marshall KY,KY,100,31448,30953
Caldwell KY,KY,200,12984,12725
Crittenden KY,KY,200,9315,9224
Hopkins KY,KY,200,46920,46376
Livingston KY,KY,200,9519,9359
Muhlenberg KY,KY,200,31499,31207
Christian KY,KY,300,73955,74250
Lyon KY,KY,300,8314,8430
Todd KY,KY,300,12460,12520
Trigg KY,KY,300,14339,14142
Butler KY,KY,400,12690,12875
Logan KY,KY,400,26835,26867
Simpson KY,KY,400,17327,17826
Warren KY,KY,400,113792,120460
Allen KY,KY,500,19956,20384
Barren KY,KY,500,42173,43148
Edmonson KY,KY,500,12161,12013
Hart KY,KY,500,18199,18597
Metcalfe KY,KY,500,10099,9990
Monroe KY,KY,500,10963,10704
Adair KY,KY,600,18656,19204
Casey KY,KY,600,15955,15891
Clinton KY,KY,600,10272,10165
Cumberland KY,KY,600,6856,6745
Green KY,KY,600,11258,11043
McCreary KY,KY,600,18306,17863
Pulaski KY,KY,600,63063,63825
Russell KY,KY,600,17565,17774
Taylor KY,KY,600,24498,25242.574
Wayne KY,KY,600,20813,20486
Clay KY,KY,700,21730,21147
Jackson KY,KY,700,13494,13289
Laurel KY,KY,700,58849,60015
Rockcastle KY,KY,700,17056,16826
Bell KY,KY,800,28691,27778
Harlan KY,KY,800,29278,28163
Knox KY,KY,800,31883,31798
Whitley KY,KY,800,35637,35503
Breathitt KY,KY,900,13878,13409
Knott KY,KY,900,16346,15892
Lee KY,KY,900,7887,7594
Leslie KY,KY,900,11310,10918
Letcher KY,KY,900,24519,23359
Owsley KY,KY,900,4755,4508
Perry KY,KY,900,28712,27597
Wolfe KY,KY,900,7355,7214
Floyd KY,KY,1000,39451,38108
Johnson KY,KY,1000,23356,23262
Magoffin KY,KY,1000,13333,12913
Martin KY,KY,1000,12929,12537
Pike KY,KY,1000,65024,63034
Clark KY,KY,1100,35613,35758
Estill KY,KY,1100,14672,14447
Garrard KY,KY,1100,16912,16858
Lincoln KY,KY,1100,24708,24411.408
Madison KY,KY,1100,82916,87340
Powell KY,KY,1100,12613,12434
Anderson KY,KY,1200,21421,21888
Boyle KY,KY,1200,28432,29706
Jessamine KY,KY,1200,48586,50815
Lincoln KY,KY,1200,34,33.592
Mercer KY,KY,1200,21331,21319
Woodford KY,KY,1200,24939,25563
Breckinridge KY,KY,1300,20059,19888
Grayson KY,KY,1300,25746,26194
Larue KY,KY,1300,14193,14180
Marion KY,KY,1300,19820,20007
Nelson KY,KY,1300,43437,44812
Taylor KY,KY,1300,14,14.426
Washington KY,KY,1300,11717,11959
Hardin KY,KY,1400,105543,108266
Meade KY,KY,1400,28602,29139
Hancock KY,KY,1500,8565,8753
Henderson KY,KY,1500,46250,46467
Ohio KY,KY,1500,23842,23977
Union KY,KY,1500,15007,15165
Webster KY,KY,1500,13621,13236
Daviess KY,KY,1600,96656,98275
McLean KY,KY,1600,9531,9478
Jefferson KY,KY,1701,139163,142717.675
Jefferson KY,KY,1702,100375,102938.904
Jefferson KY,KY,1703,233553,239518.703
Jefferson KY,KY,1704,122467,125595.205
Jefferson KY,KY,1705,145538,149255.513
Bullitt KY,KY,1800,74319,77955
Henry KY,KY,1800,15416,15572
Oldham KY,KY,1800,60316,63490
Shelby KY,KY,1800,42074,44875
Spencer KY,KY,1800,17061,17668
Trimble KY,KY,1800,8809,8786
Fayette KY,KY,1901,110761,116375.38
Fayette KY,KY,1902,185042,194421.62
Bourbon KY,KY,2000,19985,19972
Franklin KY,KY,2000,49285,49880
Harrison KY,KY,2000,18846,18592
Nicholas KY,KY,2000,7135,7041
Scott KY,KY,2000,47173,51284
Bath KY,KY,2100,11591,12206
Bracken KY,KY,2100,8488,8406
Carter KY,KY,2100,1,0.982
Fleming KY,KY,2100,14348,14545
Lewis KY,KY,2100,13870,13880
Mason KY,KY,2100,17490,17166
Menifee KY,KY,2100,6306,6287
Montgomery KY,KY,2100,26499,27474
Morgan KY,KY,2100,13923,13303
Robertson KY,KY,2100,2282,2197
Rowan KY,KY,2100,23333,23655
Boyd KY,KY,2200,49542,48832
Carter KY,KY,2200,27719,27222.018
Elliott KY,KY,2200,7852,7672
Greenup KY,KY,2200,36910,36308
Lawrence KY,KY,2200,15860,15804
Campbell KY,KY,2300,90336,91833
Pendleton KY,KY,2300,14877,14493
Kenton KY,KY,2400,159720,163929
Boone KY,KY,2500,118811,126413
Carroll KY,KY,2500,10811,10815
Gallatin KY,KY,2500,8589,8589
Grant KY,KY,2500,24662,24875
Owen KY,KY,2500,10841,10645
Bossier Parish LA,LA,101,1651,1765.109
Caddo Parish LA,LA,101,130545,129333.6
Caddo Parish LA,LA,102,123898,122748.281
Bossier Parish LA,LA,200,115328,123298.891
Caddo Parish LA,LA,200,526,521.119
Webster Parish LA,LA,200,41207,40333
Bienville Parish LA,LA,300,14353,13885
Claiborne Parish LA,LA,300,17195,16412
De Soto Parish LA,LA,300,26656,27142
Lincoln Parish LA,LA,300,46735,47617
Natchitoches Parish LA,LA,300,39566,39166
Red River Parish LA,LA,300,9091,8669
Sabine Parish LA,LA,300,24233,24199
Ouachita Parish LA,LA,400,153720,156325
Caldwell Parish LA,LA,500,10132,9894
East Carroll Parish LA,LA,500,7759,7487
Franklin Parish LA,LA,500,20767,20441
Jackson Parish LA,LA,500,16274,15994
Madison Parish LA,LA,500,12093,11843
Morehouse Parish LA,LA,500,27979,26760
Richland Parish LA,LA,500,20725,20740
Tensas Parish LA,LA,500,5252,4830
Union Parish LA,LA,500,22721,22539
West Carroll Parish LA,LA,500,11604,11525
Avoyelles Parish LA,LA,600,42073,41145
Catahoula Parish LA,LA,600,10407,10151
Concordia Parish LA,LA,600,20822,20466
Grant Parish LA,LA,600,22309,22384
La Salle Parish LA,LA,600,14890,14839
Winn Parish LA,LA,600,15313,14743
Rapides Parish LA,LA,700,131613,132488
Allen Parish LA,LA,800,25764,25713
Beauregard Parish LA,LA,800,35654,36198
Cameron Parish LA,LA,800,6839,6679
Jefferson Davis Parish LA,LA,800,31594,31477
Vernon Parish LA,LA,800,52334,52132
Calcasieu Parish LA,LA,900,192768,197204
Lafayette Parish LA,LA,1000,117226,124667.627
Acadia Parish LA,LA,1100,61773,62486
Lafayette Parish LA,LA,1100,104352,110976.373
Vermilion Parish LA,LA,1100,66,67.84
Evangeline Parish LA,LA,1200,33984,33700
St. Landry Parish LA,LA,1200,83384,83709
East Feliciana Parish LA,LA,1300,20267,19813
Iberville Parish LA,LA,1300,33387,33327
Pointe Coupee Parish LA,LA,1300,22802,22406
St. Helena Parish LA,LA,1300,11203,10619
West Feliciana Parish LA,LA,1300,15625,15406
East Baton Rouge Parish LA,LA,1401,107857,109295.596
East Baton Rouge Parish LA,LA,1402,102890,104262.347
West Baton Rouge Parish LA,LA,1402,23788,25085
East Baton Rouge Parish LA,LA,1501,103337,104715.309
East Baton Rouge Parish LA,LA,1502,126087,127768.748
Ascension Parish LA,LA,1600,107215,117029
Livingston Parish LA,LA,1600,128026,135751
Tangipahoa Parish LA,LA,1700,121097,127049
Orleans Parish LA,LA,1801,69866,78093.765
Orleans Parish LA,LA,1802,74458,83226.542
Orleans Parish LA,LA,1803,103666,115874.22
Orleans Parish LA,LA,1804,95839,107125.474
Jefferson Parish LA,LA,1901,134843,135829.34
Jefferson Parish LA,LA,1902,96792,97500.007
Jefferson Parish LA,LA,1903,96010,96712.287
Jefferson Parish LA,LA,1904,99625,100353.73
Jefferson Parish LA,LA,1905,5282,5320.636
Plaquemines Parish LA,LA,1905,23042,23447
St. Bernard Parish LA,LA,1905,35897,44409
St. Tammany Parish LA,LA,2001,117092,123147.982
Washington Parish LA,LA,2001,47168,46286
St. Tammany Parish LA,LA,2002,116648,122681.018
Assumption Parish LA,LA,2100,23421,23034
Lafourche Parish LA,LA,2100,96318,98020
Terrebonne Parish LA,LA,2200,111860,113328
St. Martin Parish LA,LA,2300,52160,53315
St. Mary Parish LA,LA,2300,54650,53162
St. Charles Parish LA,LA,2400,52780,52745
St. James Parish LA,LA,2400,22102,21638
St. John the Baptist Parish LA,LA,2400,45924,43745
Iberia Parish LA,LA,2500,73240,73913
Vermilion Parish LA,LA,2500,57933,59548.16
Berkshire MA,MA,100,115240,113040.921
Berkshire MA,MA,200,15979,15674.079
Franklin MA,MA,200,67688,67204.325
Hampden MA,MA,200,4621,4667.57
Hampshire MA,MA,200,8399,8550.902
Worcester MA,MA,200,24128,24578.894
Middlesex MA,MA,300,3074,3211.494
Worcester MA,MA,300,143062,145735.482
Middlesex MA,MA,400,87713,91636.228
Worcester MA,MA,400,22338,22755.443
Middlesex MA,MA,500,190796,199329.925
Middlesex MA,MA,600,106555,111320.993
Essex MA,MA,700,156836,162308.68
Middlesex MA,MA,700,3,3.134
Essex MA,MA,800,122425,126696.933
Essex MA,MA,900,106903,110633.303
Essex MA,MA,1000,117056,121140.585
Essex MA,MA,1100,119588,123760.937
Essex MA,MA,1200,120350,124549.527
Middlesex MA,MA,1300,111514,116501.799
Middlesex MA,MA,1400,112580,117615.479
Hampden MA,MA,1500,3608,3644.361
Worcester MA,MA,1500,107667,109679.035
Franklin MA,MA,1600,3684,3657.675
Hampshire MA,MA,1600,101130,102959.015
Hampden MA,MA,1700,95181,96140.223
Hampshire MA,MA,1700,16053,16343.331
Hampden MA,MA,1800,110038,111146.951
Hampshire MA,MA,1800,7972,8116.18
Hampden MA,MA,1900,153064,154606.562
Hampden MA,MA,2000,92544,93476.648
Hampshire MA,MA,2000,24526,24969.572
Hampden MA,MA,2100,4434,4478.685
Worcester MA,MA,2100,127432,129813.395
Worcester MA,MA,2200,123545,125853.756
Worcester MA,MA,2300,181106,184490.432
Middlesex MA,MA,2400,45065,47080.668
Norfolk MA,MA,2400,20639,21297.504
Worcester MA,MA,2400,45300,46146.547
Middlesex MA,MA,2500,105443,110159.255
Norfolk MA,MA,2500,5,5.16
Middlesex MA,MA,2600,17620,18408.108
Norfolk MA,MA,2600,87163,89944.004
Middlesex MA,MA,2700,191522,200088.398
Essex MA,MA,2800,1,1.035
Middlesex MA,MA,2800,107904,112730.331
Suffolk MA,MA,2900,104405,110945.432
Middlesex MA,MA,3000,115841,121022.337
Suffolk MA,MA,3000,19,20.19
Middlesex MA,MA,3100,117140,122379.439
Suffolk MA,MA,3100,5,5.313
Middlesex MA,MA,3200,105176,109880.313
Norfolk MA,MA,3301,2,2.064
Suffolk MA,MA,3301,115972,123237.045
Suffolk MA,MA,3302,142232,151142.098
Suffolk MA,MA,3303,126854,134800.746
Suffolk MA,MA,3304,110225,117130.025
Norfolk MA,MA,3305,2,2.064
Suffolk MA,MA,3305,122270,129929.582
Middlesex MA,MA,3400,85139,88947.098
Norfolk MA,MA,3400,58730,60603.827
Suffolk MA,MA,3400,4,4.251
Norfolk MA,MA,3500,108029,111475.751
Norfolk MA,MA,3600,84146,86830.745
Worcester MA,MA,3600,23974,24422.016
Norfolk MA,MA,3700,127184,131241.906
Norfolk MA,MA,3800,119275,123080.563
Suffolk MA,MA,3800,37,39.318
Norfolk MA,MA,3900,61267,63221.772
Plymouth MA,MA,3900,92457,94717.99
Norfolk MA,MA,4000,4408,4548.641
Plymouth MA,MA,4000,109795,112479.983
Bristol MA,MA,4100,36504,36897.412
Plymouth MA,MA,4100,116027,118864.383
Bristol MA,MA,4200,111692,112895.732
Bristol MA,MA,4300,113474,114696.937
Bristol MA,MA,4400,122360,123678.703
Bristol MA,MA,4500,164255,166025.216
Plymouth MA,MA,4500,16184,16579.772
Plymouth MA,MA,4600,160456,164379.872
Barnstable MA,MA,4700,75951,75608.34
Dukes MA,MA,4700,16535,17356
Nantucket MA,MA,4700,10172,10856
Barnstable MA,MA,4800,139937,139305.66
Allegany MD,MD,100,75087,72952
Garrett MD,MD,100,30097,29679
Washington MD,MD,200,147430,149573
Frederick MD,MD,300,233385,243675
Carroll MD,MD,400,167134,167830
Baltimore MD,MD,501,118622,121848.402
Baltimore MD,MD,502,123997,127369.597
Baltimore MD,MD,503,112693,115758.139
Baltimore MD,MD,504,116249,119410.859
Baltimore MD,MD,505,109793,112779.262
Baltimore MD,MD,506,112670,115734.514
Baltimore MD,MD,507,111005,114024.227
Harford MD,MD,601,134113,137004.778
Harford MD,MD,602,110713,113100.222
Cecil MD,MD,700,101108,102383
Kent MD,MD,700,20197,19820
Baltimore city MD,MD,801,96256,96539.981
Baltimore city MD,MD,802,98588,98878.861
Baltimore city MD,MD,803,108330,108649.602
Baltimore city MD,MD,804,130707,131092.62
Baltimore city MD,MD,805,89523,89787.117
Baltimore city MD,MD,806,97557,97844.819
Howard MD,MD,901,127318,137162.932
Howard MD,MD,902,159767,172121.068
Montgomery MD,MD,1001,130995,138903.683
Montgomery MD,MD,1002,128331,136078.847
Montgomery MD,MD,1003,176643,187307.633
Montgomery MD,MD,1004,178144,188899.254
Montgomery MD,MD,1005,134897,143041.263
Montgomery MD,MD,1006,115520,122494.397
Montgomery MD,MD,1007,107247,113721.923
Prince Georges MD,MD,1101,114269,119696.453
Prince Georges MD,MD,1102,131621,137872.624
Prince Georges MD,MD,1103,106360,111411.798
Prince Georges MD,MD,1104,96686,101278.311
Prince Georges MD,MD,1105,166424,174328.668
Prince Georges MD,MD,1106,143759,150587.145
Prince Georges MD,MD,1107,104301,109255.002
Anne Arundel MD,MD,1201,151580,157916.884
Anne Arundel MD,MD,1202,113413,118154.292
Anne Arundel MD,MD,1203,135138,140787.517
Anne Arundel MD,MD,1204,137525,143274.307
Caroline MD,MD,1300,33066,32538
Dorchester MD,MD,1300,32618,32578
Queen Annes MD,MD,1300,47798,48804
Talbot MD,MD,1300,37782,37643
Somerset MD,MD,1400,26470,25859
Wicomico MD,MD,1400,98733,101539
Worcester MD,MD,1400,51454,51675
Calvert MD,MD,1500,88737,90613
St. Marys MD,MD,1500,105151,110382
Charles MD,MD,1600,146551,154747
Cumberland ME,ME,100,18798,19206.629
York ME,ME,100,172479,175610.432
Cumberland ME,ME,200,108602,110962.779
Cumberland ME,ME,300,122271,124928.914
York ME,ME,300,24652,25099.568
Cumberland ME,ME,400,32003,32698.678
Lincoln ME,ME,400,34457,34170
Sagadahoc ME,ME,400,35293,35045
Hancock ME,ME,500,54418,54696
Knox ME,ME,500,39736,39676
Waldo ME,ME,500,35029,35268.331
Kennebec ME,ME,600,122151,121112
Androscoggin ME,ME,700,107702,107440
Franklin ME,ME,800,30768,30296
Oxford ME,ME,800,57833,57238
Somerset ME,ME,800,52228,51163
Penobscot ME,ME,900,153923,153414
Piscataquis ME,ME,900,17535,17026
Waldo ME,ME,900,3757,3782.669
Aroostook ME,ME,1000,71870,69447
Washington ME,ME,1000,32856,31808
Dickinson MI,MI,100,26168,25957
Gogebic MI,MI,100,16427,15737
Houghton MI,MI,100,36628,36495
Iron MI,MI,100,11817,11387
Keweenaw MI,MI,100,2156,2217
Ontonagon MI,MI,100,6780,6172
Alger MI,MI,200,9601,9459
Baraga MI,MI,200,8860,8654
Marquette MI,MI,200,67077,67676
Menominee MI,MI,200,24029,23714
Chippewa MI,MI,300,38520,38321
Delta MI,MI,300,37069,36559
Luce MI,MI,300,6631,6426
Mackinac MI,MI,300,11113,11042
Schoolcraft MI,MI,300,8485,8171
Antrim MI,MI,400,23580,23267
Charlevoix MI,MI,400,25949,26121
Emmet MI,MI,400,32694,33204
Kalkaska MI,MI,400,17153,17394
Missaukee MI,MI,400,14849,15037
Wexford MI,MI,400,32735,32886
Alcona MI,MI,500,10942,10454
Alpena MI,MI,500,29598,28988
Cheboygan MI,MI,500,26152,25675
Crawford MI,MI,500,14074,13745
Montmorency MI,MI,500,9765,9300
Oscoda MI,MI,500,8640,8371
Otsego MI,MI,500,24164,24158
Presque Isle MI,MI,500,13376,13004
Arenac MI,MI,600,15899,15353
Gladwin MI,MI,600,25692,25411
Iosco MI,MI,600,25887,25420
Ogemaw MI,MI,600,21699,21039
Roscommon MI,MI,600,24449,23955
Huron MI,MI,700,33118,32065
Sanilac MI,MI,700,43114,41587
Tuscola MI,MI,700,55729,54000
Bay MI,MI,800,107771,106179
Midland MI,MI,800,83629,83427
Saginaw MI,MI,900,200169,195012
Clare MI,MI,1000,30926,30652
Gratiot MI,MI,1000,42476,41665
Isabella MI,MI,1000,70311,70616
Lake MI,MI,1100,11539,11341
Mason MI,MI,1100,28705,28824
Mecosta MI,MI,1100,42798,43186
Newaygo MI,MI,1100,48460,47900
Oceana MI,MI,1100,26570,26221
Osceola MI,MI,1100,23528,23169
Muskegon MI,MI,1200,172188,172344
Kent MI,MI,1300,188029,196333.363
Kent MI,MI,1401,159249,166282.285
Kent MI,MI,1402,116534,121680.763
Kent MI,MI,1403,138810,144940.59
Ottawa MI,MI,1500,263801,276292
Benzie MI,MI,1600,17525,17519
Grand Traverse MI,MI,1600,86986,90782
Leelanau MI,MI,1600,21708,21915
Manistee MI,MI,1600,24733,24420
Allegan MI,MI,1700,111408,113847
Barry MI,MI,1700,59173,59281
Eaton MI,MI,1800,4728,4763.978
Ingham MI,MI,1800,109580,111018.336
Ingham MI,MI,1900,171315,173563.664
Clinton MI,MI,2000,75382,77297
Eaton MI,MI,2000,103031,103815.022
Ionia MI,MI,2100,63905,64294
Montcalm MI,MI,2100,63342,62893
Genesee MI,MI,2200,102434,99331.798
Genesee MI,MI,2301,108086,104812.628
Genesee MI,MI,2302,215270,208750.573
Shiawassee MI,MI,2302,70648,68933
Berrien MI,MI,2400,156813,155233
Oakland MI,MI,2501,166809,171734.904
Oakland MI,MI,2502,210117,216321.799
Oakland MI,MI,2503,156693,161320.177
Oakland MI,MI,2504,163891,168730.735
Oakland MI,MI,2505,148370,152751.397
Oakland MI,MI,2506,165926,170825.829
Oakland MI,MI,2507,91792,94502.637
Oakland MI,MI,2508,98757,101673.315
Kalamazoo MI,MI,2601,125485,129739.332
Kalamazoo MI,MI,2602,124846,129078.668
Van Buren MI,MI,2602,76258,75199
Branch MI,MI,2700,45248,43545
Cass MI,MI,2700,52293,51608
St. Joseph MI,MI,2700,61295,60946
Calhoun MI,MI,2800,136146,134878
Jackson MI,MI,2900,160248,159741
Hillsdale MI,MI,3000,46688,45830
Lenawee MI,MI,3000,99892,99047
Monroe MI,MI,3100,152021,149824
Washtenaw MI,MI,3200,112909,116865.83
Washtenaw MI,MI,3300,231882,240008.17
Livingston MI,MI,3400,180967,185596
Lapeer MI,MI,3500,88319,88153
St. Clair MI,MI,3500,163040,160078
Wayne MI,MI,3600,96942,93971.841
Wayne MI,MI,3701,99236,96195.556
Wayne MI,MI,3702,78813,76398.286
Wayne MI,MI,3703,75676,73357.399
Wayne MI,MI,3704,99335,96291.523
Wayne MI,MI,3705,87704,85016.879
Wayne MI,MI,3706,93610,90741.928
Wayne MI,MI,3707,74218,71944.07
Wayne MI,MI,3708,105185,101962.287
Wayne MI,MI,3801,93949,91070.542
Wayne MI,MI,3802,204289,198029.887
Wayne MI,MI,3803,190877,185028.811
Wayne MI,MI,3804,112548,109099.696
Wayne MI,MI,3805,133082,129004.564
Wayne MI,MI,3806,154748,150006.75
Wayne MI,MI,3807,120367,116679.133
Macomb MI,MI,3900,129699,132649.922
Macomb MI,MI,4000,134056,137106.053
Macomb MI,MI,4101,147792,151154.576
Wayne MI,MI,4101,5,4.847
Macomb MI,MI,4102,152177,155639.344
Macomb MI,MI,4103,121518,124282.787
Oakland MI,MI,4103,7,7.207
Macomb MI,MI,4104,155736,159279.318
Clay MN,MN,100,58999,61286
Kittson MN,MN,100,4552,4435
Marshall MN,MN,100,9439,9417
Norman MN,MN,100,6852,6639
Pennington MN,MN,100,13930,14058
Polk MN,MN,100,31600,31704
Red Lake MN,MN,100,4089,4043
Roseau MN,MN,100,15629,15679
Becker MN,MN,200,32504,33259
Beltrami MN,MN,200,44442,45664
Clearwater MN,MN,200,8695,8791
Hubbard MN,MN,200,20428,20573
Lake of the Woods MN,MN,200,4045,3918
Mahnomen MN,MN,200,5413,5505
Cass MN,MN,300,28567,28559
Cook MN,MN,300,5176,5233
Itasca MN,MN,300,45058,45589
Koochiching MN,MN,300,13311,12856
Lake MN,MN,300,10866,10680
St. Louis MN,MN,400,200226,200949
Aitkin MN,MN,500,16202,15771
Carlton MN,MN,500,35386,35571
Crow Wing MN,MN,500,62500,63265
Kanabec MN,MN,500,16239,15930
Mille Lacs MN,MN,500,26097,25884
Pine MN,MN,500,29750,29095
Douglas MN,MN,600,36009,36790
Morrison MN,MN,600,33198,32810
Todd MN,MN,600,24895,24264
Wadena MN,MN,600,13843,13757
Big Stone MN,MN,700,5269,5127
Grant MN,MN,700,6018,5956
Otter Tail MN,MN,700,57303,57635
Pope MN,MN,700,10995,10984
Stevens MN,MN,700,9726,9800
Swift MN,MN,700,9783,9436
Traverse MN,MN,700,3558,3387
Wilkin MN,MN,700,6576,6495
Benton MN,MN,800,38451,39506
Stearns MN,MN,800,150642,152912
Chisago MN,MN,900,53887,54025
Isanti MN,MN,900,37816,38413
Sherburne MN,MN,900,88499,91126
Wright MN,MN,900,124700,129918
Anoka MN,MN,1001,198524,205136.586
Anoka MN,MN,1002,132320,136727.414
Carver MN,MN,1100,91042,97338
Scott MN,MN,1100,129928,139672
Dakota MN,MN,1201,150199,155466.397
Dakota MN,MN,1202,109396,113232.458
Dakota MN,MN,1203,138957,143830.146
Hennepin MN,MN,1301,130402,137150.417
Hennepin MN,MN,1302,127765,134376.95
Hennepin MN,MN,1303,124416,130854.637
Hennepin MN,MN,1401,112639,118468.167
Hennepin MN,MN,1402,210707,221611.271
Hennepin MN,MN,1403,106918,112451.1
Hennepin MN,MN,1404,110525,116244.765
Hennepin MN,MN,1405,110788,116521.376
Hennepin MN,MN,1406,118265,124385.317
Ramsey MN,MN,1501,168741,176707.961
Ramsey MN,MN,1502,116350,121843.365
Ramsey MN,MN,1601,98451,103099.279
Ramsey MN,MN,1602,125084,130989.733
Ramsey MN,MN,1700,14,14.661
Washington MN,MN,1700,238136,249283
Kandiyohi MN,MN,1800,42239,42285
McLeod MN,MN,1800,36651,35882
Meeker MN,MN,1800,23300,23107
Renville MN,MN,1800,15730,15025
Sibley MN,MN,1800,15226,14918
Brown MN,MN,1900,25893,25292
Chippewa MN,MN,1900,12441,12110
Lac qui Parle MN,MN,1900,7259,6891
Lincoln MN,MN,1900,5896,5788
Lyon MN,MN,1900,25857,25665
Redwood MN,MN,1900,16059,15515
Yellow Medicine MN,MN,1900,10438,10109
Blue Earth MN,MN,2000,64013,65385
Nicollet MN,MN,2000,32727,33093
Waseca MN,MN,2000,19136,19025
Goodhue MN,MN,2100,46183,46423
Le Sueur MN,MN,2100,27703,27770
Rice MN,MN,2100,64142,65151
Fillmore MN,MN,2200,20866,20776
Houston MN,MN,2200,19027,18738
Wabasha MN,MN,2200,21676,21362
Winona MN,MN,2200,51461,51097
Olmsted MN,MN,2300,144248,150287
Dodge MN,MN,2400,20087,20353
Freeborn MN,MN,2400,31255,30840
Mower MN,MN,2400,39163,39323
Steele MN,MN,2400,36576,36573
Cottonwood MN,MN,2500,11687,11633
Faribault MN,MN,2500,14553,14192
Jackson MN,MN,2500,10266,10269
Martin MN,MN,2500,20840,20220
Murray MN,MN,2500,8725,8470
Nobles MN,MN,2500,21378,21590
Pipestone MN,MN,2500,9596,9281
